"Employed Persons by Major Occupation, by Region, by Sex: 2018 to 2021"

"Geolocation","Major Occupation","2018 January Male","2018 January Female","2018 April Male","2018 April Female","2018 July Male","2018 July Female","2018 October Male","2018 October Female","2018 Annual Male","2018 Annual Female","2018 February Male","2018 February Female","2018 March Male","2018 March Female","2018 May Male","2018 May Female","2018 June Male","2018 June Female","2018 August Male","2018 August Female","2018 September Male","2018 September Female","2018 November Male","2018 November Female","2018 December Male","2018 December Female","2019 January Male","2019 January Female","2019 April Male","2019 April Female","2019 July Male","2019 July Female","2019 October Male","2019 October Female","2019 Annual Male","2019 Annual Female","2019 February Male","2019 February Female","2019 March Male","2019 March Female","2019 May Male","2019 May Female","2019 June Male","2019 June Female","2019 August Male","2019 August Female","2019 September Male","2019 September Female","2019 November Male","2019 November Female","2019 December Male","2019 December Female","2020 January Male","2020 January Female","2020 April Male","2020 April Female","2020 July Male","2020 July Female","2020 October Male","2020 October Female","2020 Annual Male","2020 Annual Female","2020 February Male","2020 February Female","2020 March Male","2020 March Female","2020 May Male","2020 May Female","2020 June Male","2020 June Female","2020 August Male","2020 August Female","2020 September Male","2020 September Female","2020 November Male","2020 November Female","2020 December Male","2020 December Female","2021 January Male","2021 January Female","2021 April Male","2021 April Female","2021 July Male","2021 July Female","2021 October Male","2021 October Female","2021 Annual Male","2021 Annual Female","2021 February Male","2021 February Female","2021 March Male","2021 March Female","2021 May Male","2021 May Female","2021 June Male","2021 June Female","2021 August Male","2021 August Female","2021 September Male","2021 September Female","2021 November Male","2021 November Female","2021 December Male","2021 December Female"
"REGION I","Skilled Agricultural Forestry and Fishery Workers",243.570,63.565,220.450,42.598,196.978,43.065,238.392,43.590,224.848,48.205,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,236.924,50.925,194.662,48.673,247.135,49.080,233.623,48.374,228.086,49.263,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,216.750,44.522,225.419,58.421,274.640,44.450,229.413,41.554,236.556,47.237,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,159.147,3.702,212.468,49.041,207.497,47.089,249.872,49.721,212.123,49.525,187.693,41.000,137.840,35.071,189.781,60.450,222.390,36.696,229.276,49.203,197.885,54.886,209.359,45.288,342.275,81.427
"REGION I","Craft and Related Trades Workers",113.806,11.465,138.843,17.123,139.932,12.818,101.052,10.061,123.408,12.867,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,119.304,13.305,132.759,4.540,154.656,14.798,116.160,10.102,130.720,10.686,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,131.770,21.957,62.986,11.957,127.030,34.835,110.166,14.270,107.988,20.755,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,118.177,1.347,118.683,6.908,117.444,24.295,124.959,17.621,103.513,13.596,90.678,5.482,112.048,4.610,49.263,0.000,106.915,27.050,79.194,3.922,154.652,10.915,70.144,17.301,100.000,28.876
"REGION I","Plant and Machine Operators and Assemblers",70.695,0.000,105.296,4.811,68.622,1.788,83.107,0.000,81.930,1.650,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.324,3.640,109.735,3.578,63.005,2.025,101.405,5.157,93.367,3.600,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111.693,3.279,59.119,2.870,75.665,2.966,94.921,0.637,85.350,2.438,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103.453,0.167,111.133,3.849,91.999,6.232,90.993,1.409,106.775,1.506,115.632,0.000,86.383,3.306,129.782,0.000,137.907,0.000,118.878,253.815,64.566,1.270,91.295,327.793,139.279,0.000
"REGION I","Elementary Occupations",435.661,204.805,458.815,215.238,445.223,212.832,407.479,184.891,436.795,204.442,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,410.777,201.150,411.808,209.844,419.490,224.187,425.059,217.714,416.784,213.224,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,400.762,221.897,330.316,197.883,422.779,199.456,414.448,184.404,392.076,200.910,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,356.033,15.233,393.063,225.766,474.561,214.116,410.278,212.567,444.552,258.004,475.274,179.553,394.567,294.910,447.322,272.741,426.141,330.704,458.559,0.000,468.266,238.921,587.651,0.000,442.910,362.361
"REGION I","Armed Forces Occupations",0.446,0.000,0.000,0.000,0.489,0.000,0.000,0.000,0.234,0.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.000,0.000,2.281,0.000,2.732,0.000,1.461,0.000,1.619,0.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.261,0.000,2.147,0.000,1.045,0.000,0.378,0.000,1.458,0.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.453,0.000,1.055,0.000,1.392,0.139,0.448,0.000,0.542,0.012,1.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.899,0.000,0.000,0.000,0.000,0.000
"REGION II","Managers",81.474,78.082,86.764,97.449,90.758,89.928,96.623,113.283,88.905,94.686,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.346,66.291,66.391,41.777,80.645,84.864,85.452,58.091,81.209,62.756,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.940,63.131,65.340,57.801,60.972,52.392,52.319,57.832,68.893,57.789,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.886,5.468,58.128,46.796,53.513,52.147,56.370,36.535,58.966,48.508,58.498,77.844,87.090,44.258,63.316,40.972,58.107,44.976,71.757,41.520,21.201,46.268,53.904,59.501,49.825,25.665
"REGION II","Professionals",16.434,44.048,20.681,44.877,16.355,53.341,17.752,40.623,17.806,45.722,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.290,42.546,12.237,38.229,20.368,59.017,20.527,52.678,19.356,48.118,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.290,43.062,16.909,46.114,27.195,62.964,24.409,47.514,25.201,49.914,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.081,4.096,31.058,53.716,21.934,50.960,18.930,53.204,24.208,54.139,16.213,47.988,19.251,62.270,28.357,37.939,29.487,56.385,26.530,27.372,26.179,64.587,22.361,77.347,30.111,68.739
"REGION II","Technicians and Associate Professionals",15.607,18.448,12.130,17.712,21.906,24.481,15.321,14.595,16.241,18.809,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.016,17.211,11.521,29.196,15.560,20.392,15.131,20.088,13.057,21.722,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.983,22.303,11.113,9.762,24.928,31.676,15.792,20.702,14.704,21.111,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.318,1.047,21.071,23.691,17.949,25.651,21.891,14.772,16.784,21.792,2.553,16.485,14.218,10.489,18.380,16.642,25.642,29.024,14.859,47.481,21.909,34.229,14.417,10.351,22.202,20.120
"REGION II","Clerical Support Workers",15.859,22.576,25.459,22.581,14.518,21.763,20.893,33.300,19.182,25.055,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.353,34.975,13.931,25.039,12.152,20.103,22.770,28.854,17.302,27.243,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.610,29.454,15.998,24.793,29.997,48.628,12.718,26.587,19.581,32.365,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.842,2.205,21.437,28.337,24.222,32.339,21.047,33.571,20.454,35.033,20.065,13.339,20.447,40.799,19.490,23.654,6.225,40.813,24.451,40.020,23.374,63.041,16.946,24.596,27.897,53.428
"REGION II","Service and Sales Workers",65.611,84.319,53.018,80.201,61.940,76.075,66.156,83.400,61.681,80.999,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.053,108.381,68.173,111.701,76.753,84.974,92.651,108.801,76.408,103.464,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.647,137.002,73.909,98.762,71.311,114.641,48.823,92.326,63.923,110.683,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.754,10.721,78.515,138.124,86.437,159.858,88.824,141.687,82.920,149.822,76.775,133.771,99.270,160.160,71.812,161.537,109.069,182.200,102.053,168.212,42.696,156.915,55.518,100.034,115.320,166.714
"REGION II","Skilled Agricultural Forestry and Fishery Workers",270.181,33.834,295.491,28.344,269.425,32.331,282.824,49.891,279.480,36.100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,223.260,20.129,302.431,47.531,310.476,34.989,251.267,33.904,271.859,34.138,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,245.711,29.001,214.240,25.987,230.223,38.116,357.049,41.018,261.806,33.531,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,275.651,2.921,254.958,32.997,214.965,42.289,271.527,42.151,264.471,38.359,317.444,27.584,295.416,39.142,265.399,57.923,282.075,35.957,249.678,39.895,206.151,15.547,318.963,64.634,221.426,27.129
"REGION II","Craft and Related Trades Workers",51.724,4.444,60.795,5.731,75.181,6.030,73.678,5.236,65.345,5.360,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.920,5.494,56.784,6.004,52.192,4.447,56.155,7.470,61.513,5.854,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.864,4.999,42.612,3.432,59.698,4.971,70.149,3.773,61.581,4.294,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.381,0.147,68.542,3.939,78.703,10.452,57.990,3.168,65.494,4.776,34.995,5.787,66.242,2.538,68.037,16.678,71.941,2.043,76.990,0.000,87.663,3.107,52.632,2.174,63.811,5.659
"REGION II","Plant and Machine Operators and Assemblers",60.996,1.066,38.232,0.000,52.073,0.177,40.312,0.000,47.903,0.311,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.426,1.056,39.091,0.676,39.193,2.175,46.443,1.750,44.038,1.414,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.180,0.019,53.094,0.000,60.725,0.021,62.443,0.029,52.111,0.017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.728,0.032,55.569,1.550,59.588,1.469,56.684,2.784,60.646,1.697,23.271,4.928,59.489,0.000,48.069,0.000,70.177,4.998,49.176,0.000,96.227,0.000,73.500,4.258,78.280,0.000
"REGION II","Elementary Occupations",395.714,228.968,370.164,258.170,350.877,201.859,333.707,192.182,362.616,220.295,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,347.937,204.331,378.201,198.058,331.722,191.433,368.400,215.720,356.565,202.386,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,365.084,223.374,301.331,166.215,341.842,177.513,270.852,102.992,319.777,167.524,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,374.159,18.021,319.663,186.651,402.092,198.609,401.693,267.256,363.529,223.210,355.514,187.066,340.944,294.980,332.866,224.477,251.173,120.807,408.674,300.382,397.328,212.636,357.963,236.152,420.278,233.256
"REGION II","Armed Forces Occupations",5.285,0.000,1.908,0.000,3.532,0.000,0.863,0.000,2.897,0.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.809,0.927,2.597,0.000,3.168,0.000,0.000,0.000,1.894,0.232,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.837,0.000,0.000,0.000,3.146,0.000,2.883,0.000,2.967,0.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.368,0.000,2.361,0.000,3.598,0.377,3.204,0.000,1.672,0.031,0.000,0.000,1.241,0.000,0.610,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.680,0.000,0.000,0.000
"REGION III","Managers",518.580,384.385,466.710,355.313,473.308,446.563,497.300,364.396,488.975,387.664,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,363.944,256.309,210.207,200.217,191.119,147.937,267.673,213.624,258.236,204.522,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,170.394,106.009,137.665,149.703,145.828,174.096,158.636,234.530,153.131,166.085,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,169.324,13.319,209.872,183.365,195.352,244.917,196.166,220.700,175.755,173.942,178.520,195.241,120.571,138.757,157.362,187.964,201.824,150.382,239.660,149.184,126.669,208.359,200.715,160.743,113.029,87.870
"REGION III","Professionals",102.525,144.209,88.775,148.384,89.462,140.486,96.357,159.679,94.280,148.190,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,103.079,184.672,111.035,168.972,91.101,140.886,103.083,158.818,102.075,163.337,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.268,194.072,90.553,167.880,65.140,105.342,90.970,151.249,84.983,154.636,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.391,13.664,81.789,191.883,107.668,165.322,105.032,134.792,95.274,168.008,77.316,194.029,61.506,152.201,110.988,183.246,59.311,200.187,116.210,100.151,103.848,127.966,127.904,202.724,115.326,199.630
"REGION III","Technicians and Associate Professionals",69.834,80.871,121.326,43.401,114.673,78.775,108.599,65.550,103.608,67.149,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,118.723,100.514,118.958,89.693,97.441,120.158,93.659,113.626,107.195,105.998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.210,73.198,64.103,53.878,89.790,56.761,102.365,70.235,86.617,63.518,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.197,6.808,105.759,81.617,117.465,90.917,118.462,70.146,97.046,79.353,91.801,74.677,111.591,93.815,76.584,78.454,110.952,76.004,59.549,81.603,91.853,76.318,117.697,79.404,84.645,67.595
"REGION III","Clerical Support Workers",103.714,207.778,104.236,161.035,113.377,175.067,143.651,178.093,116.245,180.493,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,107.459,180.432,140.486,187.164,103.265,162.797,143.206,178.449,123.604,177.211,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,129.766,225.368,100.662,127.663,103.681,134.665,122.092,141.621,114.050,157.329,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,165.742,13.470,160.970,193.110,154.970,202.523,149.776,214.084,144.851,203.933,105.695,160.439,155.471,166.920,89.071,191.852,155.444,254.051,123.023,234.797,118.728,216.469,216.349,174.827,142.970,276.489
"REGION III","Service and Sales Workers",402.696,419.176,358.795,377.822,342.052,360.309,305.397,398.262,352.235,388.892,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,395.657,530.420,438.004,603.991,427.769,645.716,428.251,615.717,422.420,598.961,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,451.317,663.509,325.848,382.352,386.091,648.060,450.964,600.537,403.555,573.615,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,419.929,56.179,409.093,591.540,403.700,544.668,419.007,663.434,439.536,667.855,472.582,684.028,477.214,836.113,456.905,612.545,442.208,613.947,330.422,604.665,445.187,655.622,487.182,714.192,511.002,819.351
"REGION III","Skilled Agricultural Forestry and Fishery Workers",178.888,22.120,224.155,32.432,144.578,19.975,184.296,33.751,182.979,27.070,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,167.646,24.715,186.135,22.592,240.831,27.387,203.901,16.556,199.628,22.813,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,186.380,22.761,201.870,11.741,229.558,17.828,247.687,32.779,216.374,21.277,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,213.099,1.304,204.469,12.280,206.115,21.312,193.877,14.587,222.611,15.276,223.761,18.042,252.482,24.340,238.138,7.788,127.149,11.380,255.184,25.936,243.515,7.003,253.317,11.482,260.226,13.511
"REGION III","Craft and Related Trades Workers",379.079,69.712,406.108,112.237,367.991,91.335,358.620,101.314,377.950,93.650,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,399.021,90.718,390.392,102.889,435.254,86.014,463.595,76.432,422.066,89.013,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,427.381,98.043,175.478,65.601,350.599,65.712,338.800,69.613,323.065,74.742,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,377.804,8.440,355.802,62.383,380.073,88.869,429.328,67.074,376.175,82.608,359.873,139.616,407.631,95.310,407.901,77.553,325.706,30.284,430.840,105.419,386.516,71.357,317.958,60.907,334.668,91.244
"REGION III","Plant and Machine Operators and Assemblers",279.325,38.037,265.470,32.703,273.563,41.424,271.861,34.461,272.555,36.656,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,389.881,39.043,479.324,45.055,450.293,52.966,439.280,46.037,439.695,45.775,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,459.169,38.124,299.030,40.256,407.457,40.921,390.930,29.025,389.147,37.082,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,449.159,3.706,377.400,21.497,444.757,48.011,392.510,31.002,426.181,38.378,484.343,17.087,452.551,63.505,368.337,19.882,353.782,56.710,499.730,31.753,486.193,61.888,365.857,29.597,439.554,35.134
"REGION III","Elementary Occupations",756.872,348.343,758.062,383.377,873.909,324.994,784.946,269.662,793.447,331.594,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,844.973,346.787,851.005,342.329,914.050,420.810,892.180,330.553,875.552,360.120,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,892.514,387.992,566.612,276.008,1089.828,386.001,930.883,337.079,869.959,346.770,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,952.952,27.788,918.512,387.546,895.583,337.463,1049.772,402.500,978.382,404.664,904.777,352.204,1067.445,371.399,1087.666,424.544,1000.171,374.806,968.681,564.707,879.925,440.213,962.407,449.659,1052.691,417.473
"REGION III","Armed Forces Occupations",4.310,0.976,10.506,0.000,2.845,0.917,4.316,0.401,5.494,0.574,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.568,0.000,10.648,1.633,9.182,1.049,4.776,0.000,8.544,0.671,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.063,0.000,5.624,0.000,17.113,1.406,5.666,0.330,7.617,0.434,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.681,0.180,6.460,0.000,3.445,0.000,3.895,0.000,4.716,0.834,0.000,0.000,0.485,7.049,18.757,0.806,0.000,0.000,10.866,0.000,0.577,0.000,3.425,0.000,7.996,0.000
"REGION IVA","Managers",540.187,572.959,496.736,570.761,541.114,614.481,506.784,556.547,521.205,578.687,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,321.332,331.695,263.261,294.123,367.181,346.464,391.476,268.865,335.813,310.287,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,292.249,232.598,180.615,139.442,200.201,231.291,244.534,196.613,229.400,199.986,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,242.689,13.540,249.566,184.354,224.701,218.893,258.854,228.509,238.472,193.840,321.017,257.379,213.403,168.716,241.459,199.466,239.794,185.923,231.816,218.783,186.980,156.438,308.980,223.415,142.410,121.722
"REGION IVA","Professionals",150.293,226.942,150.515,208.053,120.497,234.993,148.307,229.983,142.403,224.993,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,122.077,246.798,124.756,216.187,122.185,250.816,189.779,306.674,139.699,255.119,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,141.510,257.569,119.301,193.747,155.649,203.070,145.522,233.270,140.496,221.914,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,138.261,22.443,180.892,298.923,134.578,236.319,173.265,284.536,158.746,284.181,238.723,349.365,170.465,253.494,170.572,376.470,100.838,335.462,155.472,149.403,113.531,254.457,174.918,340.721,153.434,261.709
"REGION IVA","Technicians and Associate Professionals",211.790,167.170,162.308,161.400,206.400,173.723,156.066,183.163,184.141,171.364,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,242.303,173.107,188.694,188.138,225.922,194.693,215.487,158.798,218.102,178.684,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,205.769,183.022,165.990,159.477,158.012,147.479,188.239,152.163,179.503,160.535,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,186.745,10.782,172.163,154.657,215.594,195.329,173.376,227.633,168.027,166.256,189.441,135.190,189.101,183.252,158.571,109.391,128.999,147.762,130.281,110.104,138.615,135.316,194.592,223.346,138.848,243.713
"REGION IVA","Clerical Support Workers",152.744,287.605,159.547,300.221,173.819,285.888,189.449,250.943,168.890,281.164,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,197.214,299.894,205.797,301.284,200.095,288.570,221.122,328.107,206.057,304.464,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,203.718,333.791,128.700,252.450,142.266,272.882,220.308,317.818,173.748,294.235,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,171.470,24.878,196.788,262.636,216.950,345.631,218.519,348.067,195.427,313.844,229.136,227.665,148.471,251.663,107.490,299.543,236.677,245.832,163.904,341.983,228.940,385.723,221.695,369.186,205.077,389.672
"REGION IVA","Service and Sales Workers",458.048,469.646,465.583,488.465,444.228,519.589,512.850,505.902,470.177,495.901,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,527.105,723.987,569.022,827.409,591.510,821.879,576.374,821.234,566.003,798.627,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,573.315,896.994,536.816,665.378,524.211,965.791,588.229,861.378,555.643,847.385,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,587.313,74.478,641.256,1056.814,625.544,895.184,644.252,924.456,621.447,986.981,560.883,973.925,607.285,979.813,608.359,1078.649,694.414,1099.143,578.882,973.877,567.232,939.569,589.675,940.626,752.263,1087.975
"REGION IVA","Skilled Agricultural Forestry and Fishery Workers",233.774,32.507,220.411,43.758,168.045,21.766,191.099,44.588,203.332,35.655,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,221.025,50.204,198.989,42.995,201.187,56.533,230.239,37.420,212.860,46.788,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,170.560,50.929,239.907,52.678,236.168,46.876,214.286,48.679,215.230,49.791,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,248.294,3.741,217.996,33.596,203.283,40.027,224.291,44.598,243.448,47.736,289.294,37.058,278.366,51.741,222.211,18.657,209.400,34.716,244.764,56.107,253.287,62.281,259.529,57.928,270.659,91.225
"REGION IVA","Craft and Related Trades Workers",431.268,107.352,515.217,91.153,506.684,124.107,515.166,99.168,492.084,105.445,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,530.372,117.475,519.262,139.565,501.438,149.522,505.270,102.236,514.086,127.200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,467.721,107.125,375.372,67.758,521.971,108.263,483.061,117.056,462.031,100.051,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,444.603,7.331,394.899,146.699,479.831,132.174,488.684,113.581,465.802,132.694,351.648,73.023,438.792,100.005,434.916,186.019,428.856,150.272,444.085,126.054,500.488,149.876,594.931,104.410,587.891,222.245
"REGION IVA","Plant and Machine Operators and Assemblers",479.985,154.286,462.607,127.994,460.533,156.077,500.963,174.484,476.022,153.210,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,630.845,225.290,772.925,174.113,570.704,191.709,659.586,195.031,658.515,196.536,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,681.137,213.718,614.839,209.627,684.991,219.105,611.430,149.164,648.099,197.904,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,607.680,14.822,524.017,199.123,602.907,175.556,552.000,139.232,597.685,187.266,626.501,128.917,659.675,333.083,710.015,279.611,555.109,240.625,683.500,257.342,614.290,116.681,493.656,83.172,542.874,115.984
"REGION IVA","Elementary Occupations",745.432,421.920,813.308,395.812,780.482,373.427,800.166,453.935,784.847,411.274,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,881.055,456.744,893.695,471.961,992.230,488.247,802.726,462.542,892.427,469.874,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,992.846,503.355,820.784,434.350,931.649,467.977,863.134,403.797,902.103,452.370,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,859.880,37.004,1001.028,438.919,1009.056,412.833,1020.040,496.170,1043.298,519.030,772.784,516.760,1117.560,585.992,1169.586,601.082,1298.442,511.113,1064.705,487.493,1181.071,464.715,1001.728,617.606,1023.697,651.628
"REGION IVA","Armed Forces Occupations",8.577,0.000,3.754,0.000,25.005,0.000,12.106,0.000,12.361,0.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.986,0.000,6.079,0.000,16.377,0.000,11.644,0.000,11.772,0.000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.547,0.000,3.433,0.000,43.420,11.575,17.545,0.000,18.986,2.894,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.163,0.039,13.008,2.872,11.079,1.785,4.479,0.000,12.345,0.427,0.000,0.000,37.064,0.000,6.061,0.000,28.890,0.000,0.000,0.000,9.539,0.000,0.857,0.000,17.998,0.000
"MIMAROPA REGION","Managers",81.627,118.582,94.394,101.529,76.694,101.451,78.642,90.659,82.839,103.055,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.063,84.653,87.946,118.064,64.294,89.318,83.542,75.924,77.711,91.990,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.972,67.687,47.294,46.806,64.230,94.918,51.007,65.367,56.876,68.695,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.242,6.217,62.671,86.943,47.990,69.259,55.744,0.000,47.449,66.183,47.276,78.296,43.309,81.949,26.764,51.959,36.696,66.493,50.215,52.103,49.910,80.337,62.628,61.625,32.944,11.880
"MIMAROPA REGION","Professionals",17.083,34.385,22.357,44.269,14.684,34.615,22.893,44.870,19.254,39.535,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.359,34.461,20.961,41.943,13.867,39.342,17.348,39.923,16.634,38.917,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.856,39.310,12.357,27.036,16.324,33.739,15.680,44.312,16.554,36.099,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.508,3.028,18.513,48.536,15.216,40.675,18.955,78.743,17.644,44.470,18.432,32.402,9.814,39.109,9.752,34.667,37.657,81.418,14.254,36.371,27.426,43.982,15.625,43.934,10.571,52.569
"MIMAROPA REGION","Technicians and Associate Professionals",21.707,31.273,19.023,22.452,18.966,30.941,18.859,24.833,19.639,27.375,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.074,19.282,19.210,18.278,24.632,30.431,13.788,25.836,18.676,23.457,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.497,32.388,11.634,17.548,14.535,17.419,13.166,18.669,13.708,21.506,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.233,1.563,18.321,22.491,17.508,18.757,13.516,43.638,16.101,21.657,4.380,11.940,14.803,22.987,9.883,23.659,32.493,20.754,17.556,17.946,23.161,22.912,15.569,25.813,13.790,29.561
